timestamp,place_id,email,subject,status,error
2026-05-10T10:37:05.426144,ChIJZX6KuYX5Ig0R57BNr9sYs8o,restaurantedomduarte@gmail.com,Website para o Dom Duarte II — mais clientes online,error,"HTTP 401: {""message"":""We have detected you are using an unrecognised IP address 89.153.177.126. If you performed this action make sure to add the new IP address in this link: https://app.brevo.com/security/auth"
2026-05-10T10:37:05.879511,ChIJkzlnHqllJA0Ry83RB61uLJw,email@lematin.pt,Website para o LeMatin Café Bistrô — mais clientes online,error,"HTTP 401: {""message"":""We have detected you are using an unrecognised IP address 89.153.177.126. If you performed this action make sure to add the new IP address in this link: https://app.brevo.com/security/auth"
2026-05-10T10:37:06.331192,ChIJ83Eh9FpDGQ0RJOxUKvjrebc,geral@gatsby.pt,Website para o Gatsby Cocktailaria — mais clientes online,error,"HTTP 401: {""message"":""We have detected you are using an unrecognised IP address 89.153.177.126. If you performed this action make sure to add the new IP address in this link: https://app.brevo.com/security/auth"
2026-05-10T10:37:06.800910,ChIJifO-uQn5Ig0RM4vkrDBxUGc,geral@actifisio.pt,Website para o Actifisio - Acredite Numa Vida Activa e Saudável — mais clientes online,error,"HTTP 401: {""message"":""We have detected you are using an unrecognised IP address 89.153.177.126. If you performed this action make sure to add the new IP address in this link: https://app.brevo.com/security/auth"
2026-05-10T10:37:07.219279,ChIJCXXkG8RSBQ0RdXyAPm_FIbw,booking@mychoice.pt,Website para o MY CHOICE Holidays — mais clientes online,error,"HTTP 401: {""message"":""We have detected you are using an unrecognised IP address 89.153.177.126. If you performed this action make sure to add the new IP address in this link: https://app.brevo.com/security/auth"
2026-05-10T10:37:07.668817,ChIJS6kPFS17JA0R1ZNU9fCIUGo,geralgaia@clinicadavenida.com,Website para o Clínica Dentária D'Avenida — mais clientes online,error,"HTTP 401: {""message"":""We have detected you are using an unrecognised IP address 89.153.177.126. If you performed this action make sure to add the new IP address in this link: https://app.brevo.com/security/auth"
2026-05-10T10:37:08.121384,ChIJ9y4EkK__JA0RVABPMtsyyFs,geral@mezebrunch.com,Website para o Méze Brunch — mais clientes online,error,"HTTP 401: {""message"":""We have detected you are using an unrecognised IP address 89.153.177.126. If you performed this action make sure to add the new IP address in this link: https://app.brevo.com/security/auth"
2026-05-10T10:37:08.536502,ChIJwR3-UVRDGQ0RfPvif7ZYJiM,geral@peixoco.com,Website para o Peixoco — mais clientes online,error,"HTTP 401: {""message"":""We have detected you are using an unrecognised IP address 89.153.177.126. If you performed this action make sure to add the new IP address in this link: https://app.brevo.com/security/auth"
2026-05-10T10:37:09.000823,ChIJx9qs-JxlJA0RCjGIbO0LLiA,geral@vasquesdecarvalho.com,"Website para o Vasques De Carvalho, Port Wine — mais clientes online",error,"HTTP 401: {""message"":""We have detected you are using an unrecognised IP address 89.153.177.126. If you performed this action make sure to add the new IP address in this link: https://app.brevo.com/security/auth"
2026-05-10T10:37:09.541537,ChIJFRJQQ89lJA0RVbmulqBs1AY,ajax-loader@2x.gif,Website para o Baby Bubbles Spa & Relax — mais clientes online,error,"HTTP 401: {""message"":""We have detected you are using an unrecognised IP address 89.153.177.126. If you performed this action make sure to add the new IP address in this link: https://app.brevo.com/security/auth"
2026-05-10T10:37:09.995579,ChIJQ3VKc7JDGQ0RXNU48xZ9_1s,geral.hcorreia@hotmail.com,Website para o H. Correia — mais clientes online,error,"HTTP 401: {""message"":""We have detected you are using an unrecognised IP address 89.153.177.126. If you performed this action make sure to add the new IP address in this link: https://app.brevo.com/security/auth"
2026-05-10T10:37:10.527485,ChIJmS20XQa-Iw0RP0HgsF9qiuE,geral@bronze.pt,Website para o Bronze Seafood & Lounge Bar — mais clientes online,error,"HTTP 401: {""message"":""We have detected you are using an unrecognised IP address 89.153.177.126. If you performed this action make sure to add the new IP address in this link: https://app.brevo.com/security/auth"
2026-05-10T10:37:10.993415,ChIJQ3VKc7JDGQ0RXNU48xZ9_1s,geral.hcorreia@hotmail.com,Website para o H. Correia — mais clientes online,error,"HTTP 401: {""message"":""We have detected you are using an unrecognised IP address 89.153.177.126. If you performed this action make sure to add the new IP address in this link: https://app.brevo.com/security/auth"
