city,place_id,name,rating,reviews,lat,lon,keyword,website,phone,address,business_status,types,rating_details,reviews_count_details,price_level,google_maps_url,open_now
Lisboa,ChIJZV1yW2EzGQ0RiYM9jyGIRp4,"Vila Saúde - Serviços Médicos, Lda.",4.4,92.0,38.6723,-9.1393,dentist,,21 393 4050,"R. Saraiva de Carvalho 286A, 1350-303 Lisboa, Portugal",OPERATIONAL,"establishment,health,point_of_interest",,,,https://maps.google.com/?cid=11404952784080831369,True
Lisboa,ChIJWfJBUA41GQ0RLF3icGYV1mk,Vigordent Almada,5.0,131.0,38.6723,-9.1393,dentist,,21 080 8019,"Av. 23 de Julho 395, 2810-291 Laranjeiro, Portugal",OPERATIONAL,"dentist,establishment,health,point_of_interest",5.0,131.0,,https://maps.google.com/?cid=7626306548723244332,False
Lisboa,ChIJ6cu65xczGQ0RPr8--niJZVc,Marco Spínola Barreto Lawyer (MSB),4.2,96.0,38.7223,-9.1393,lawyer,,915 619 257,"Rua Pedro Monjardino 12b, 1600-892 Lisboa, Portugal",OPERATIONAL,"establishment,point_of_interest",4.2,96.0,,https://maps.google.com/?cid=6297590806635003710,False
Lisboa,ChIJYUWAMPEzGQ0RP4PhFbAdeU0,Escritório de advocacia Dra. Ketley Juliana Tomaz,4.7,60.0,38.7223,-9.1393,lawyer,,932 682 762,"R. Castilho n° 39 -12 F, 1250-068 Lisboa, Portugal",OPERATIONAL,"establishment,lawyer,point_of_interest",4.7,60.0,,https://maps.google.com/?cid=5582525855220990783,True
Lisboa,ChIJ657MnsEzGQ0RNlmGlSUhCv4,"Ramos Correia & Associados - Sociedade de Advogados, SP, RL",4.1,41.0,38.7723,-9.1393,lawyer,,910 427 813,"Rua dos Açores 11 B, 1000-001 Lisboa, Portugal",OPERATIONAL,"establishment,lawyer,point_of_interest",4.1,41.0,,https://maps.google.com/?cid=18305480080706918710,False
Lisboa,ChIJb91WTpE3GQ0Rr26bXMpA0B0,Paulo Edson Cunha - Advogado,4.9,104.0,38.6723,-9.1393,lawyer,,21 222 4042,"R. Santa Teresinha 9 B, 2840-399 Seixal, Portugal",OPERATIONAL,"establishment,lawyer,point_of_interest",4.9,104.0,,https://maps.google.com/?cid=2148288260136988335,False
Lisboa,ChIJvQ2avNQ1GQ0R0I9TT--bVhw,Daniel Torrado - Advogado,5.0,55.0,38.6723,-9.1393,lawyer,,963 362 676,"R. Torcato José Clavine n° 7 Cave Dta, 2800-710 Almada, Portugal",OPERATIONAL,"establishment,finance,lawyer,local_government_office,point_of_interest",5.0,55.0,,https://maps.google.com/?cid=2041990933189464016,True
Lisboa,ChIJU3-KEJ3LHg0Ry9DaBMWTdvo,Advogado - Dr. Guilherme A. Bonfim,4.4,19.0,38.6723,-9.1393,lawyer,,910 222 005,"R. Dr. António Elvas 88 B Escritório 3, 2810-165 Feijó, Portugal",OPERATIONAL,"establishment,lawyer,point_of_interest",4.4,19.0,,https://maps.google.com/?cid=18047775031133130955,True
Lisboa,ChIJ2b8W5oQ9HiARXutj33KtrH4,Natasha L. Abreu | Portugal Immigration Lawyer & Legal Services,5.0,18.0,38.6723,-9.1893,lawyer,,934 868 615,"R. de São Nicolau 121 2º andar, 1100-548 Lisboa, Portugal",OPERATIONAL,"establishment,lawyer,point_of_interest,travel_agency",5.0,18.0,,https://maps.google.com/?cid=9127861253658897246,True
Lisboa,ChIJ0d6rZ2IzGQ0RIw78pfzrf-I,Tatiana Kazan Advocacia Internacional & Imigração,5.0,138.0,38.6723,-9.1893,lawyer,,910 447 044,"Av. da Liberdade 110 1º Andar, 1269-046 Lisboa, Portugal",OPERATIONAL,"establishment,lawyer,point_of_interest",5.0,138.0,,https://maps.google.com/?cid=16321023044963012131,True
Lisboa,ChIJsTM34wnNHg0R8rKVjf65A-E,Paula Penha Gonçalves Advogada,5.0,4.0,38.6723,-9.1893,lawyer,,21 412 3131,"Av. Gen. Norton de Matos, 63 - S/Loja Esq Miraflores, 1495-148 Algés, Portugal",OPERATIONAL,"establishment,lawyer,point_of_interest",5.0,4.0,,https://maps.google.com/?cid=16214007586412147442,False
Lisboa,ChIJQf8mTpgzGQ0RVme8j0t36PU,Three Stars Consulting Lda.,4.6,113.0,38.7223,-9.1393,accountant,,927 237 601,"R. Maria Andrade 39 B, 1170-218 Lisboa, Portugal",OPERATIONAL,"accounting,establishment,finance,point_of_interest",4.6,113.0,,https://maps.google.com/?cid=17719543900306958166,True
Lisboa,ChIJ2UA275EzGQ0RqAEtsy_VhP8,ARSH CONTABILIDADE E FISCALIDADE,5.0,52.0,38.7723,-9.1393,accountant,,925 061 016,"Rua Guilherme Gomes Fernandes 9, Sub, loja -D, 2675-366 Odivelas, Portugal",OPERATIONAL,"accounting,establishment,finance,point_of_interest",5.0,52.0,,https://maps.google.com/?cid=18412075577443680680,True
Lisboa,ChIJC-A5qjotGQ0RquTxo0ZcpuI,M.Assifo Contabilidade,4.7,15.0,38.7723,-9.1393,accountant,,935 075 393,"Praça da República Piso 1 Loja 14 D, 2620-530 Ramada, Portugal",OPERATIONAL,"accounting,establishment,finance,point_of_interest",4.7,15.0,,https://maps.google.com/?cid=16331842557173687466,True
Lisboa,ChIJnaItkvrNHg0RzY1NBU2eJYA,KINDNESS SIMPLE ACCOUNT,5.0,37.0,38.7723,-9.1393,accountant,,965 054 631,"Alameda Salgueiro Maia 6 Loja 2B, 2660-329 Santo António dos Cavaleiros, Portugal",OPERATIONAL,"accounting,establishment,finance,point_of_interest",5.0,37.0,,https://maps.google.com/?cid=9233960664631709133,True
Lisboa,ChIJd4yyH1szGQ0Rzd9HH1r83Ss,João Luís de Deus - Contabilidade e Serviços,5.0,10.0,38.7723,-9.1393,accountant,,966 075 929,"R. André de Gouveia 3 5dto, 1750-027 Lisboa, Portugal",OPERATIONAL,"accounting,establishment,finance,point_of_interest",5.0,10.0,,https://maps.google.com/?cid=3160959977486016461,True
Lisboa,ChIJm9hBnk4tGQ0RSa_MyGi3f9U,"Microiva - Contabilidade e Informática, Lda.",5.0,2.0,38.7723,-9.1393,accountant,,917 265 429,"Av. 25 de Abril 10 B, 2620-185 Ramada, Portugal",OPERATIONAL,"accounting,establishment,finance,point_of_interest",5.0,2.0,,https://maps.google.com/?cid=15384216512794242889,False
Lisboa,ChIJX9FlaqUzGQ0RYe3useKu8kg,"Carmarzul-Gabinete Tecnico De Contabilidade E Gestão, Lda.",5.0,2.0,38.7723,-9.1393,accountant,,21 842 1955,"Av. de Madrid 11E, 1000-196 Lisboa, Portugal",OPERATIONAL,"accounting,establishment,finance,point_of_interest",5.0,2.0,,https://maps.google.com/?cid=5256456003765857633,True
Lisboa,ChIJ56LVCa0yGQ0RjnKoizCv_Z8,"Lima, Verde & Correia",4.0,4.0,38.7723,-9.1393,accountant,,21 934 2001,"Av. Dom Dinis 116 R C C PATAMEIRAS, 2675-486 Odivelas, Portugal",OPERATIONAL,"accounting,establishment,finance,point_of_interest,store",4.0,4.0,,https://maps.google.com/?cid=11528563244174701198,True
Lisboa,ChIJM5fj53RKGQ0R-CrvL2ac0zU,Nss Contabilidade E Fiscalidade,5.0,1.0,38.6723,-9.1393,accountant,,21 224 1400,"R. de Bissau 73 A, 2845-069 Amora, Portugal",OPERATIONAL,"accounting,establishment,finance,point_of_interest",5.0,1.0,,https://maps.google.com/?cid=3878615666800929528,True
